sample_id,label,mode,probe_score,gate,alpha_applied,rep_type
-1,answerable,prefill_probe_gate_a-1.0,0.996556,0.006926,-0.006925759527312986,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.99941,0.006732,-0.006732175706879876,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001352,0.993217,-0.9932166459086227,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.99744,0.006865,-0.006865219236700051,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001422,0.993212,-0.9932119804667939,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.993983,0.007105,-0.007104965633308621,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.990307,0.007369,-0.007369082443563235,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000477,0.993275,-0.993275351872661,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.9971,0.006888,-0.006888426748953779,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001052,0.993237,-0.9932368789251951,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.970616,0.008958,-0.008958435572862722,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.998701,0.00678,-0.00677974326837016,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.998566,0.006789,-0.006788861403472676,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.002576,0.993134,-0.9931337303729977,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.995271,0.007015,-0.007014681557244334,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001,0.99324,-0.9932403451110833,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.00349,0.993071,-0.9930710983828839,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000312,0.993286,-0.9932863896925271,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.996496,0.00693,-0.0069298899466563755,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001571,0.993202,-0.9932018883738015,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001096,0.993234,-0.9932339139275166,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001555,0.993203,-0.9932030069852565,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000483,0.993275,-0.9932749729528912,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001021,0.993239,-0.9932389181740158,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.509067,0.477349,-0.47734876268405796,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.999663,0.006715,-0.0067153097504291165,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.998231,0.006812,-0.006811500570024994,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.997837,0.006838,-0.006838164304473451,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.99223,0.00723,-0.007229686531167446,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.002089,0.993167,-0.993166829884544,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.999246,0.006743,-0.006743181324510249,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000729,0.993258,-0.9932584996329175,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.00104,0.993238,-0.9932376382850253,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.99678,0.00691,-0.006910381136503124,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.002021,0.993171,-0.9931714692212559,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.003648,0.99306,-0.9930601919258442,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.00618,0.992884,-0.99288351991069,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.984982,0.007769,-0.007768933090661874,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000828,0.993252,-0.993251908582599,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.989051,0.007462,-0.007461527685958296,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.947008,0.011317,-0.011316893541153221,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001718,0.993192,-0.9931919540391965,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.976704,0.008434,-0.008433798054943313,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001166,0.993229,-0.9932291684009454,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.00622,0.992881,-0.9928806785839736,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001283,0.993221,-0.9932213345818675,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.981981,0.008004,-0.008003739517219725,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.913473,0.015755,-0.015754774622462157,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.001669,0.993195,-0.993195257224108,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000908,0.993246,-0.9932464817901157,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.002255,0.993156,-0.9931555592238108,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.999309,0.006739,-0.006738972301666125,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.998112,0.00682,-0.006819528172009056,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.003112,0.993097,-0.9930970384946478,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.011433,0.992503,-0.9925025712891299,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.913331,0.015777,-0.015776844905025084,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.998652,0.006783,-0.00678303305564611,last_token
-1,unanswerable,prefill_probe_gate_a-1.0,0.000759,0.993257,-0.9932565246043191,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.999236,0.006744,-0.006743824322735428,last_token
-1,answerable,prefill_probe_gate_a-1.0,0.984871,0.007778,-0.007777533064928907,last_token
